Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,Court
NOP,NOP @ MIN,2020-03-08,W,36,98,37,71,0.5211267605633803,10,26,0.38461538461538464,14,21,0.6666666666666666,7,33,40,24,19,6,4,18,14,0
MIN,MIN vs. NOP,2020-03-08,L,36,84,29,73,0.3972602739726027,5,22,0.22727272727272727,21,25,0.84,7,24,31,14,14,10,3,16,-14,1
MIL,MIL @ PHX,2020-03-08,L,36,91,37,74,0.5,7,23,0.30434782608695654,10,13,0.7692307692307693,7,23,30,13,6,6,3,16,-11,0
MIA,MIA @ WAS,2020-03-08,W,36,72,24,53,0.4528301886792453,8,21,0.38095238095238093,16,20,0.8,5,28,33,14,16,7,6,21,0,0
LAL,LAL @ LAC,2020-03-08,W,36,85,29,66,0.4393939393939394,8,27,0.2962962962962963,19,22,0.8636363636363636,6,26,32,17,12,7,6,19,4,0
LAC,LAC vs. LAL,2020-03-08,L,36,81,28,69,0.4057971014492754,5,23,0.21739130434782608,20,26,0.7692307692307693,13,27,40,10,13,5,2,16,-4,1
IND,IND @ DAL,2020-03-08,W,36,86,35,67,0.5223880597014925,6,18,0.3333333333333333,10,16,0.625,5,32,37,18,8,3,3,18,2,0
HOU,HOU vs. ORL,2020-03-08,L,36,76,28,62,0.45161290322580644,7,23,0.30434782608695654,13,19,0.6842105263157895,6,19,25,15,16,7,5,17,-29,1
DET,DET @ NYK,2020-03-08,L,36,71,25,61,0.4098360655737705,9,29,0.3103448275862069,12,18,0.6666666666666666,4,24,28,19,10,6,2,12,-1,0
DAL,DAL vs. IND,2020-03-08,L,36,84,30,70,0.42857142857142855,10,31,0.3225806451612903,14,19,0.7368421052631579,7,25,32,13,8,4,2,14,-2,1
CLE,CLE vs. SAS,2020-03-08,W,36,87,29,64,0.453125,8,25,0.32,21,25,0.84,8,29,37,18,14,4,3,20,-4,1
CHI,CHI @ BKN,2020-03-08,L,36,70,27,68,0.39705882352941174,5,23,0.21739130434782608,11,17,0.6470588235294118,4,20,24,15,4,12,2,15,-7,0
BOS,BOS vs. OKC,2020-03-08,L,36,84,30,72,0.4166666666666667,13,36,0.3611111111111111,11,14,0.7857142857142857,8,26,34,17,9,9,4,17,1,1
BKN,BKN vs. CHI,2020-03-08,W,36,77,27,54,0.5,11,29,0.3793103448275862,12,14,0.8571428571428571,4,35,39,18,22,2,4,16,7,1
UTA,UTA @ DET,2020-03-07,W,36,79,32,63,0.5079365079365079,8,29,0.27586206896551724,7,10,0.7,8,24,32,14,8,9,3,13,6,0
SAC,SAC @ POR,2020-03-07,W,36,100,36,74,0.4864864864864865,19,32,0.59375,9,11,0.8181818181818182,10,29,39,25,8,7,3,19,20,0
POR,POR vs. SAC,2020-03-07,L,36,80,28,66,0.42424242424242425,8,28,0.2857142857142857,16,23,0.6956521739130435,6,26,32,17,9,5,3,9,-20,1
PHI,PHI @ GSW,2020-03-07,L,36,90,33,63,0.5238095238095238,9,25,0.36,15,17,0.8823529411764706,7,23,30,24,5,3,2,13,8,0
MEM,MEM vs. ATL,2020-03-07,W,36,93,36,70,0.5142857142857142,9,26,0.34615384615384615,12,19,0.631578947368421,11,34,45,24,12,7,4,13,15,1
HOU,HOU @ CHA,2020-03-07,L,36,76,27,57,0.47368421052631576,12,32,0.375,10,14,0.7142857142857143,9,23,32,16,16,7,3,18,-6,0
GSW,GSW vs. PHI,2020-03-07,W,36,82,32,62,0.5161290322580645,7,20,0.35,11,16,0.6875,7,19,26,22,6,3,1,14,-8,1
DET,DET vs. UTA,2020-03-07,L,36,73,29,62,0.46774193548387094,6,22,0.2727272727272727,9,13,0.6923076923076923,6,21,27,18,10,3,2,12,-6,1
DEN,DEN @ CLE,2020-03-07,L,36,83,35,63,0.5555555555555556,10,25,0.4,3,8,0.375,5,18,23,22,14,10,0,15,-2,0
CLE,CLE vs. DEN,2020-03-07,W,36,85,36,60,0.6,9,23,0.391304347826087,4,6,0.6666666666666666,4,21,25,27,16,6,1,12,2,1
CHA,CHA vs. HOU,2020-03-07,W,36,82,28,54,0.5185185185185185,12,27,0.4444444444444444,14,17,0.8235294117647058,4,18,22,23,12,5,1,12,6,1
ATL,ATL @ MEM,2020-03-07,L,36,78,25,72,0.3472222222222222,9,36,0.25,19,22,0.8636363636363636,9,23,32,17,10,6,2,16,-15,0
WAS,WAS vs. ATL,2020-03-06,W,36,93,29,58,0.5,13,26,0.5,22,26,0.8461538461538461,6,23,29,19,14,7,3,14,18,1
UTA,UTA @ BOS,2020-03-06,W,36,79,29,57,0.5087719298245614,15,32,0.46875,6,7,0.8571428571428571,4,24,28,21,14,6,5,12,13,0
