index,Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,Court,Opponent,OppPTS,OppFGM,OppFGA,OppFG%,Opp3PM,Opp3PA,Opp3P%,OppFTM,OppFTA,OppFT%,OppOREB,OppDREB,OppREB,OppAST,OppTOV,OppSTL,OppBLK,OppPF,Pos,OppPos,Pace,OFFRTG,DEFRTG,Margin,formatted_date,week_of_season
66,WAS,WAS vs. ATL,2020-03-06,W,12,25,7,18,38.9,2,5,40.0,9,9,100.0,3,6,9,5,4,2,1,5,-12,1,ATL,37,15,24,62.5,3,8,37.5,4,4,100.0,2,8,10,10,2,2,1,7,23.79125,23.79125,95.165,105.08064939841329,155.51936110965164,6,2020-03-06,20
67,UTA,UTA @ BOS,2020-03-06,W,12,20,7,23,30.4,2,13,15.4,4,5,80.0,4,8,12,2,4,2,2,7,-8,0,BOS,28,8,23,34.8,3,10,30.0,9,10,90.0,4,10,14,6,2,4,2,6,23.879285714285714,23.879285714285714,95.51714285714286,83.75459902485717,117.25643863480005,5,2020-03-06,20
69,POR,POR @ PHX,2020-03-06,L,12,35,13,20,65.0,6,11,54.5,3,3,100.0,1,5,6,8,4,1,0,6,3,0,PHX,32,11,20,55.0,4,9,44.4,6,7,85.7,4,6,10,6,4,2,0,4,23.325,23.325,93.3,150.05359056806003,137.19185423365488,-10,2020-03-06,20
70,PHX,PHX vs. POR,2020-03-06,W,12,32,11,20,55.0,4,9,44.4,6,7,85.7,4,6,10,6,4,2,0,4,-3,1,POR,35,13,20,65.0,6,11,54.5,3,3,100.0,1,5,6,8,4,1,0,6,23.325,23.325,93.3,137.19185423365488,150.05359056806003,10,2020-03-06,20
71,ORL,ORL @ MIN,2020-03-06,W,12,30,11,16,68.8,0,1,0.0,8,14,57.1,1,8,9,7,5,1,1,5,-5,0,MIN,35,11,25,44.0,3,14,21.4,10,11,90.9,3,6,9,9,2,4,1,8,26.57512987012987,26.57512987012987,106.30051948051948,112.8875010079241,131.7020845092448,14,2020-03-06,20
72,OKC,OKC @ NYK,2020-03-06,W,12,31,13,25,52.0,4,12,33.3,1,1,100.0,2,9,11,6,2,2,2,3,6,0,NYK,25,10,25,40.0,3,11,27.3,2,3,66.7,3,8,11,6,2,2,1,3,24.509749999999997,24.509749999999997,98.03899999999999,126.4802782566122,102.00022440049369,23,2020-03-06,20
73,NYK,NYK vs. OKC,2020-03-06,L,12,25,10,25,40.0,3,11,27.3,2,3,66.7,3,8,11,6,2,2,1,3,-6,1,OKC,31,13,25,52.0,4,12,33.3,1,1,100.0,2,9,11,6,2,2,2,3,24.509749999999997,24.509749999999997,98.03899999999999,102.00022440049369,126.4802782566122,-23,2020-03-06,20
74,NOP,NOP vs. MIA,2020-03-06,W,12,21,6,16,37.5,2,6,33.3,7,10,70.0,3,6,9,3,6,3,3,6,-9,1,MIA,30,11,21,52.4,5,9,55.6,3,4,75.0,3,8,11,9,4,4,1,7,23.05757575757576,23.05757575757576,92.23030303030303,91.07635694572217,130.10908135103168,6,2020-03-06,20
75,MIN,MIN vs. ORL,2020-03-06,L,12,35,11,25,44.0,3,14,21.4,10,11,90.9,3,6,9,9,2,4,1,8,5,1,ORL,30,11,16,68.8,0,1,0.0,8,14,57.1,1,8,9,7,5,1,1,5,26.57512987012987,26.57512987012987,106.30051948051948,131.7020845092448,112.8875010079241,-14,2020-03-06,20
76,MIL,MIL @ LAL,2020-03-06,L,12,27,8,21,38.1,2,10,20.0,9,13,69.2,0,11,11,5,2,1,1,9,1,0,LAL,26,8,22,36.4,0,6,0.0,10,13,76.9,2,13,15,3,3,2,1,9,28.04769230769231,28.04769230769231,112.19076923076923,96.26460424551587,92.699248532719,-10,2020-03-06,20
