Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
MIL,MIL @ MEM,12/13/2019,,W,12,29,8,16,50.0,2,5,40.0,11,11,100.0,1,14,15,5,8,0,0,5,-4
LAC,LAC @ MIN,12/13/2019,,W,12,32,9,19,47.4,1,5,20.0,13,13,100.0,2,7,9,2,6,0,0,6,3
NYK,NYK @ SAC,12/13/2019,,W,12,25,11,25,44.0,3,10,30.0,0,0,0.0,5,8,13,7,4,3,0,4,3
PHI,PHI vs. NOP,12/13/2019,,W,12,23,9,21,42.9,0,3,0.0,5,6,83.3,0,10,10,6,4,1,2,6,-9
MIN,MIN vs. LAC,12/13/2019,,L,12,29,9,21,42.9,4,11,36.4,7,7,100.0,2,8,10,5,8,2,2,10,-3
GSW,GSW @ UTA,12/13/2019,,L,12,27,12,22,54.5,2,6,33.3,1,2,50.0,2,8,10,6,3,2,2,6,0
ATL,ATL vs. IND,12/13/2019,,L,12,26,11,26,42.3,0,4,0.0,4,7,57.1,5,7,12,5,3,2,1,6,-8
POR,POR @ DEN,12/12/2019,,L,12,27,12,22,54.5,3,8,37.5,0,0,0.0,1,5,6,7,1,2,0,6,-2
DAL,DAL @ DET,12/12/2019,,W,12,31,12,24,50.0,5,12,41.7,2,3,66.7,4,9,13,4,3,0,0,4,2
BOS,BOS vs. PHI,12/12/2019,,L,12,25,10,22,45.5,2,7,28.6,3,5,60.0,3,6,9,7,2,0,3,6,-3
CLE,CLE @ SAS,12/12/2019,,W,12,25,10,24,41.7,4,12,33.3,1,2,50.0,4,9,13,5,5,1,1,5,1
PHI,PHI @ BOS,12/12/2019,,W,12,28,12,24,50.0,3,8,37.5,1,2,50.0,4,8,12,8,1,1,3,5,3
SAS,SAS vs. CLE,12/12/2019,,L,12,24,9,19,47.4,1,3,33.3,5,5,100.0,0,9,9,4,3,2,2,3,-1
